Score_Sum,Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,Full_Evaluation(gemini-3-pro-gpt-5.2).csv,Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,Full_Evaluation(qwen3-max-gpt-5.2).csv
0,15,1,0,0
1,4,0,0,0
2,2,0,0,0
3,2,0,0,0
4,1,1,0,2
6,0,0,0,4
7,0,1,0,2
8,0,0,0,1
9,0,1,0,5
10,0,1,0,0
11,4,0,3,3
12,1,1,1,2
13,2,1,2,1
14,3,1,11,0
15,6,5,32,3
16,10,10,52,2
17,20,24,76,5
18,28,62,86,14
19,27,25,47,18
20,35,49,33,20
21,35,71,15,38
22,48,50,8,58
23,42,40,0,56
24,36,20,0,51
25,32,1,0,33
26,9,1,0,40
27,3,0,0,8
28,1,0,0,0
